Variable,Dimensión,Media,Mediana,Std,Min,Max,Skewness,Kurtosis
GLD_news_sent,ETF,-0.004608464104024916,0.0,0.1094713283554908,-0.296,0.3768,0.4740109156491171,2.617839346498059
IWM_news_sent,ETF,0.08038460586715804,0.0750785714285714,0.06814051632235234,-0.1342264705882352,0.2284625,-0.16714875118470304,0.5916351675015865
LQD_news_sent,ETF,0.008836193143898,0.009052,0.07725998256722133,-0.2244,0.1933727272727273,-0.7843869455860046,1.5228437213859527
QQQ_news_sent,ETF,-0.025871442703189442,-0.0455384615384615,0.12199796990338872,-0.296,0.38535,0.8864013264119728,2.55674872643647
SPY_news_sent,ETF,0.12274693488141261,0.1178409090909091,0.04048119706659048,0.0436399380804953,0.2108425,0.45417487017979746,0.05843189869883281
TIP_news_sent,ETF,0.022040454704749125,0.0277583333333333,0.07568963017898632,-0.1418787234042553,0.212646875,0.1476742195765371,-0.12826851325413946
VNQ_news_sent,ETF,-0.027911311191393232,-0.0191238095238095,0.09775954995413658,-0.3013263157894736,0.20073,-0.5123925373185098,0.49915732983373173
AGG_news_count,ETF,5.3125,3.0,6.972006236926494,1.0,35.0,3.198832653504244,11.295437776066397
EEM_news_count,ETF,7.698412698412699,7.0,4.117762157018255,1.0,25.0,1.3780126060118003,3.8292553817662185
EFA_news_count,ETF,21.238095238095237,20.0,6.121654545780918,8.0,43.0,0.9949796862800907,2.2370534436417593
GLD_news_count,ETF,7.423728813559322,7.0,4.453605241748294,1.0,22.0,0.7729897029572605,0.747741589799646
IWM_news_count,ETF,63.06349206349206,61.0,16.22907885593119,30.0,121.0,0.7346803586403402,1.5139203132152614
LQD_news_count,ETF,20.349206349206348,20.0,4.432863816769419,8.0,35.0,-0.028114385486465387,2.113749429201399
QQQ_news_count,ETF,9.491803278688524,7.0,6.908021788277916,1.0,35.0,1.5166218741267983,2.876538616779923
SPY_news_count,ETF,205.14285714285714,205.0,40.337681780545736,140.0,323.0,1.036279754456923,2.4663980023244334
TIP_news_count,ETF,34.26984126984127,33.0,10.833351057530107,8.0,71.0,0.8696617561785822,1.7409886194671245
VNQ_news_count,ETF,20.50793650793651,21.0,4.257339074575072,8.0,28.0,-0.8891134393230625,1.5353126454498804
news_sent_all,Noticias NLP,0.04904516553069199,0.0493860240963855,0.04149344931690425,-0.0716573529411764,0.1418699052132701,-0.1745505919070801,0.10283987195546018
news_count_all,Noticias NLP,254.34920634920636,209.0,108.66048911412672,68.0,557.0,0.8333710346878411,-0.38434387217975496
target_AGG,Target,0.0005898017169215949,0.0009282428146461,0.007555348818826902,-0.109401506987906,0.0623785135142873,-2.7682346496282086,53.4216038081661
target_EEM,Target,0.0008848178557355653,0.00217914923138,0.03274473922286788,-0.2242021831422685,0.2492377004602506,-0.4153489652041923,7.980299517393168
target_EFA,Target,0.0009006115143308268,0.0023519746604865,0.02739243483533772,-0.2284173315597014,0.1184845181899299,-1.0535751456836773,7.802717139815766
target_GLD,Target,0.0020221486409352104,0.0028588350321008,0.02332783332770734,-0.0967313756937175,0.129320020998696,-0.17114374962541598,2.2053285991549707
target_IWM,Target,0.0014637072599073852,0.0034900349301457,0.03281719993652176,-0.1895218659946958,0.167686358392898,-0.5261841805782028,4.552983416320331
target_LQD,Target,0.0007893217948856556,0.0016634470699225,0.01255914962926233,-0.1421949652084312,0.137143670254375,-0.8335262552572789,37.970743676067016
target_QQQ,Target,0.0028240784586432916,0.0043586956640005,0.028272303790032937,-0.1442500122204322,0.1084390375798078,-0.4823198906349002,2.4198838095394333
target_SPY,Target,0.0019486902966249818,0.0035776606070051,0.025522851469996347,-0.2205644987269921,0.1248010444486761,-1.0361685615292515,9.58372401296105
target_TIP,Target,0.0006620173416157709,0.0011034605508536,0.008542037587955773,-0.0711872499558344,0.0427524523151333,-1.0511106245174748,10.38491585180109
target_VNQ,Target,0.0009851472153788257,0.0026790353119166,0.03649710776681449,-0.2865082560758032,0.2105215894836695,-0.5718208992200046,10.537711697473043
